,dataset,framework,app,end_to_end,startup,io,preprocess,query,store
0,amazon,FaaSGraph,bfs,0.889629841,0.746293688,0.094434166,0.005375051,0.005635548,0.018153477
1,amazon,FaaSGraph,cc,0.76358304,0.601078415,0.098651695,0.004951239,0.037863922,0.016696072
2,amazon,FaaSGraph,pagerank,0.968792439,0.634855413,0.144781923,0.010590076,0.154848957,0.018967772
3,amazon,FaaSGraph,sssp,0.811491537,0.625244522,0.150347137,0.00496254,0.005330181,0.020959663
4,livejournal,FaaSGraph,bfs,2.823485994,0.688908386,1.49134903,0.057264137,0.497441578,0.069353199
5,livejournal,FaaSGraph,cc,3.182832909,0.695868206,1.354509354,0.061118126,1.001348209,0.06535778
6,livejournal,FaaSGraph,pagerank,7.112311363,0.566770267,1.92307663,0.127882957,4.413624477,0.076275063
7,livejournal,FaaSGraph,sssp,5.418869448,0.597703218,2.363786173,0.053596306,2.332368994,0.066650057
8,twitter,FaaSGraph,bfs,45.91183705,1.410776758,40.89134812,0.113795567,3.117314053,0.359284544
9,twitter,FaaSGraph,cc,50.3921154,1.221252728,40.70086417,0.111859179,8.018082237,0.335727501
10,twitter,FaaSGraph,pagerank,68.22793097,1.466072989,41.14698315,0.214165688,25.07037921,0.325774193
0,twitter,FaaSGraph,sssp,68.5730093,1.693469763,58.4916091,0.094284487,7.948224449,0.340644026
0,friendster,FaaSGraph,bfs,58.56935744,1.471563339,48.78425121,0.166863585,7.486260128,0.640820885
1,friendster,FaaSGraph,cc,67.00507998,1.679461956,50.34298439,0.170082474,14.07135363,0.736569595
2,friendster,FaaSGraph,pagerank,107.2740052,1.484973097,52.60533705,0.274612904,52.39139199,0.513129711
1,friendster,FaaSGraph,sssp,100.4937206,1.721999121,70.72712131,0.167757797,27.39237947,0.47979598
